suite,configuration,method,window,workload_replay_count,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,mean_actual_grid_cost_usd,mean_actual_operating_cost_usd,mean_actual_carbon_kg,mean_actual_curtailment_mwh,mean_batch_adjustment_mwh,max_batch_adjustment_mwh,workload_violation_count,workload_violation_rate,workload_mean_violation_magnitude_all,workload_mean_violation_magnitude_conditional,workload_max_violation_magnitude,grid_limit_violation_count,grid_limit_violation_rate,grid_limit_mean_violation_magnitude_all,grid_limit_mean_violation_magnitude_conditional,grid_limit_max_violation_magnitude,ramp_violation_count,ramp_violation_rate,ramp_mean_violation_magnitude_all,ramp_mean_violation_magnitude_conditional,ramp_max_violation_magnitude
ablation,tv_dro_energy_0_workload_0,tv_dro,2025-01-01,100,False,False,20,,0.01,0.7,20.0,optimal_decomposed,17.346889699998428,17.346755899998243,15664.811973990276,174.34157851920932,15839.153552509486,15674.11846661953,15848.46004513874,187949.92929938927,0.07779038402373076,50.42462618828234,62.23855264822355,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_0_workload_0,tv_dro,2025-04-01,100,False,False,20,,0.01,0.7,20.0,optimal_decomposed,17.376608200007468,17.376481500003138,15462.571691668618,498.33225108841935,15960.903942757037,15668.715595174699,16167.047846263118,134259.24974034345,0.04426122175280929,53.565953938749345,65.27269807340919,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_0_workload_0,tv_dro,2025-07-01,100,False,False,20,,0.01,0.7,20.0,optimal_decomposed,13.952996599997277,13.95291440001165,15865.46096236075,295.2709491819086,16160.731911542658,16073.261102390914,16368.53205157282,167784.08870085684,0.06168350355270839,58.36434782593474,72.64612805634556,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_0_workload_0,tv_dro,2025-10-01,100,False,False,20,,0.01,0.7,20.0,optimal_decomposed,13.897302500001388,13.897143099995446,16307.664624421875,533.9055933035863,16841.57021772546,16378.546065802051,16912.451659105638,193701.899798128,0.02834274465840542,55.16386100023916,68.41090991986053,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_1_workload_0,tv_dro,2025-01-01,100,True,False,20,,0.01,0.7,20.0,optimal_decomposed,70.3879503999924,70.38724919999368,15664.811973990281,174.34157851920813,15839.15355250949,15671.748634383657,15846.090212902867,187996.73304672207,0.19114790134585252,50.78574704335628,108.87884657314231,0,0.0,0.0,0.0,0.0,2,0.02,0.009437697768178054,0.47188488840890275,0.8464736364428271,1,0.01,0.013080871850094832,1.3080871850094833,1.3080871850094833
ablation,tv_dro_energy_1_workload_0,tv_dro,2025-04-01,100,True,False,20,,0.01,0.7,20.0,optimal_decomposed,70.4453663000022,70.44451440000557,15462.571691668618,498.33225108842146,15960.903942757039,15673.42947069346,16171.76172178188,134235.25920970915,0.04584412177731374,53.65899093915647,65.30106532305672,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_1_workload_0,tv_dro,2025-07-01,100,True,False,20,,0.01,0.7,20.0,optimal_decomposed,72.1959790999972,72.19506980000006,15865.46096236071,295.27094918192586,16160.731911542636,16073.891982122599,16369.162931304523,167818.17898065466,0.18568306665972936,58.75621725841111,72.3247813749729,0,0.0,0.0,0.0,0.0,1,0.01,0.0007326003278243998,0.07326003278243998,0.07326003278243998,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_1_workload_0,tv_dro,2025-10-01,100,True,False,20,,0.01,0.7,20.0,optimal_decomposed,70.8592392999999,70.85853959999804,16307.664624421874,533.9055933035855,16841.57021772546,16375.72860901679,16909.634202320376,193696.49995672854,0.11924119313398807,54.1840474202034,66.61394721085094,0,0.0,0.0,0.0,0.0,14,0.14,0.01279067585500056,0.09136197039286113,0.21290850982370801,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_0_workload_1,tv_dro,2025-01-01,100,False,True,20,,0.01,0.7,20.0,optimal_decomposed,68.48523010000645,68.48431169999822,15664.811973990287,174.34157851920764,15839.153552509495,15672.355158853645,15846.696737372855,187963.52299432844,0.12486024222099447,50.192848008016156,61.07248941737325,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_0_workload_1,tv_dro,2025-04-01,100,False,True,20,,0.01,0.7,20.0,optimal_decomposed,68.47877990000416,68.47794859998976,15462.571691668643,498.3322510884205,15960.903942757064,15670.850586153303,16169.182837241726,134224.8425647952,0.03806978849847748,53.28582489798581,65.92850148599086,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_0_workload_1,tv_dro,2025-07-01,100,False,True,20,,0.01,0.7,20.0,optimal_decomposed,71.90943199998583,71.9085250999924,15865.460962360714,295.2709491819092,16160.731911542623,16064.24839446015,16359.51934364206,167787.8615165829,0.19383957506018043,60.08601290600795,113.52727241922733,0,0.0,0.0,0.0,0.0,4,0.04,0.0007325590849360797,0.018313977123401992,0.029530968355734544,4,0.04,0.03251220876849638,0.8128052192124094,0.9260313249816745
ablation,tv_dro_energy_0_workload_1,tv_dro,2025-10-01,100,False,True,20,,0.01,0.7,20.0,optimal_decomposed,70.22700709999481,70.22610440000426,16307.664624421886,533.9055933035844,16841.57021772547,16377.637569535518,16911.5431628391,193706.19709338312,0.027527089739759952,53.81339335026844,65.52910695468492,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_1_workload_1,tv_dro,2025-01-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,68.44582390000869,68.44497169999522,15664.81197399028,174.34157851920855,15839.153552509488,15673.849246882939,15848.190825402147,187948.70466901173,0.0829506138475007,50.27862666670078,61.56254946638796,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_1_workload_1,tv_dro,2025-04-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,69.91635179999867,69.91556839999976,15462.571691668627,498.3322510884225,15960.90394275705,15672.456884067697,16170.789135156117,134209.61483700742,0.06991306078995678,53.85239203214273,65.12103247793175,0,0.0,0.0,0.0,0.0,2,0.02,0.0008535270629710578,0.04267635314855289,0.052034770468540215,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_1_workload_1,tv_dro,2025-07-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,71.00332069999422,71.00256370000716,15865.460962360698,295.2709491819056,16160.731911542603,16060.788722839334,16356.05967202124,167725.2055327115,0.0016027632691692376,58.365313137729345,72.16160595333524,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_1_workload_1,tv_dro,2025-10-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,69.03638350000256,69.03565259999596,16307.664624421883,533.9055933035839,16841.570217725468,16376.450834394382,16910.356427697967,193720.29546287586,0.033819161044391415,54.12092390428722,66.78384843131728,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
