suite,configuration,method,window,workload_replay_count,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,mean_actual_grid_cost_usd,mean_actual_operating_cost_usd,mean_actual_carbon_kg,mean_actual_curtailment_mwh,mean_batch_adjustment_mwh,max_batch_adjustment_mwh,workload_violation_count,workload_violation_rate,workload_mean_violation_magnitude_all,workload_mean_violation_magnitude_conditional,workload_max_violation_magnitude,grid_limit_violation_count,grid_limit_violation_rate,grid_limit_mean_violation_magnitude_all,grid_limit_mean_violation_magnitude_conditional,grid_limit_max_violation_magnitude,ramp_violation_count,ramp_violation_rate,ramp_mean_violation_magnitude_all,ramp_mean_violation_magnitude_conditional,ramp_max_violation_magnitude
main,deterministic,deterministic,2025-01-01,100,True,True,0,,,0.7,20.0,optimal,1.7695240000030026,1.769525199997588,15664.811973990281,174.34157851920799,15839.15355250949,15672.224082730292,15846.565661249499,187943.66136243648,0.060049081723153465,50.240809267061984,61.64303551621904,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-04-01,100,True,True,0,,,0.7,20.0,optimal,2.110817100001441,2.1108183999967878,15462.571691668632,498.33225108842646,15960.903942757059,15672.516849738422,16170.84910082685,134292.0107782413,0.07659831620449828,53.249109919607776,65.34744726859374,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-07-01,100,True,True,0,,,0.7,20.0,optimal,1.7940958999970462,1.7940966000023764,15865.460962360758,295.2709491819242,16160.731911542682,16080.129416335223,16375.40036551715,167804.93549300975,0.31466921197130393,58.092321317739746,113.1270173153307,0,0.0,0.0,0.0,0.0,8,0.08,0.005643026067810983,0.07053782584763729,0.1828699057166714,1,0.01,0.007986772465179816,0.7986772465179817,0.7986772465179817
main,deterministic,deterministic,2025-10-01,100,True,True,0,,,0.7,20.0,optimal,2.45066009999573,2.450660799993784,16307.664624421875,533.9055933035798,16841.570217725457,16376.636984690384,16910.54257799396,193589.17036731145,0.11225642662106976,55.994551533128735,110.28748242904358,0,0.0,0.0,0.0,0.0,2,0.02,0.00021504935516615477,0.010752467758307738,0.021053477473058413,2,0.02,0.01922311689465407,0.9611558447327037,1.0213240274571573
main,tv_dro_rho_0p01,tv_dro,2025-01-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,77.46086670000659,77.45990929999971,15664.81197399028,174.34157851920855,15839.153552509488,15673.849246882939,15848.190825402147,187948.70485555497,0.0829515508923508,50.278618566700786,61.56254046638759,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,tv_dro_rho_0p01,tv_dro,2025-04-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,77.4272512000025,77.4263873000018,15462.571691668627,498.3322510884225,15960.90394275705,15672.456884067697,16170.789135156117,134209.61508112162,0.06991308922288644,53.852388792144644,65.12102347793179,0,0.0,0.0,0.0,0.0,2,0.02,0.0008535270629710578,0.04267635314855289,0.052034770468540215,0,0.0,0.0,0.0,0.0
main,tv_dro_rho_0p01,tv_dro,2025-07-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,74.86793700000271,74.86730160000297,15865.460962360698,295.2709491819056,16160.731911542603,16060.788722839334,16356.05967202124,167725.20527972936,0.0016027632691692376,58.36530512772934,72.1615969533355,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,tv_dro_rho_0p01,tv_dro,2025-10-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,74.52247270000225,74.52163529999962,16307.664624421883,533.9055933035839,16841.570217725468,16376.450834394382,16910.356427697967,193720.29495555197,0.03381927881281836,54.120916074276245,66.78383943131735,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
