scenario_id,hour,baseline_cores,baseline_energy_core_hours,flexible_window_energy_core_hours,arrival_work_core_hours,due_work_core_hours,cumulative_arrived_core_hours,cumulative_due_core_hours
0,0,407009.946047,407009.946047,407009.946047,407009.946047,0.0,407009.946047,0.0
0,1,412096.600688,412096.600688,819106.546735,412096.600688,0.0,819106.546735,0.0
0,2,313426.48465,313426.48465,1132533.031385,313426.48465,0.0,1132533.031385,0.0
0,3,425264.998689,425264.998689,1557798.030074,425264.998689,0.0,1557798.030074,0.0
0,4,474263.230666,474263.230666,2032061.26074,474263.230666,0.0,2032061.26074,0.0
0,5,521815.407429,521815.407429,2553876.668169,521815.407429,0.0,2553876.668169,0.0
0,6,1251697.256111,1251697.256111,3805573.924279,1251697.256111,407009.946047,3805573.92428,407009.946047
0,7,735047.237068,735047.237068,4133611.2153,735047.237068,412096.600688,4540621.161348,819106.546735
0,8,485671.859439,485671.859439,4207186.474051,485671.859439,313426.48465,5026293.020787,1132533.031385
0,9,746470.808781,746470.808781,4640230.798183,746470.808781,425264.998689,5772763.829568,1557798.030074
0,10,612057.320587,612057.320587,4827023.120081,612057.320587,474263.230666,6384821.150155,2032061.26074
0,11,638250.016993,638250.016993,4991009.906408,638250.016993,521815.407429,7023071.167148,2553876.668169
0,12,1106568.451006,1106568.451006,5575762.949985,1106568.451006,1251697.256111,8129639.618154,3805573.92428
0,13,836919.287961,836919.287961,5160984.981836,836919.287961,735047.237068,8966558.906115,4540621.161348
0,14,800135.056068,800135.056068,5226072.800836,800135.056068,485671.859439,9766693.962183,5026293.020787
0,15,815216.331954,815216.331954,5555617.27335,815216.331954,746470.808781,10581910.294137,5772763.829568
0,16,457356.359779,457356.359779,5266502.824348,457356.359779,612057.320587,11039266.653916,6384821.150155
0,17,453373.466161,453373.466161,5107818.969922,453373.466161,638250.016993,11492640.120077,7023071.167148
0,18,539835.598231,539835.598231,5009404.55116,539835.598231,1106568.451006,12032475.718308,8129639.618154
0,19,259553.947697,259553.947697,4162390.047851,259553.947697,836919.287961,12292029.666005,8966558.906115
0,20,341166.041446,341166.041446,3666636.801335,341166.041446,800135.056068,12633195.707451,9766693.962183
0,21,580474.540911,580474.540911,3446976.286179,580474.540911,815216.331954,13213670.248362,10581910.294137
0,22,496187.565451,496187.565451,3127947.519677,496187.565451,457356.359779,13709857.813813,11039266.653916
0,23,357659.400314,357659.400314,3028250.560212,357659.400314,453373.466161,14067517.214127,11492640.120077
0,24,416855.168551,416855.168551,2991732.262602,416855.168551,539835.598231,14484372.382678,12032475.718308
0,25,640640.533823,640640.533823,3092537.198195,640640.533823,259553.947697,15125012.916501,12292029.666005
0,26,392220.512035,392220.512035,3225203.762533,392220.512035,341166.041446,15517233.428536,12633195.707451
0,27,592201.51937,592201.51937,3476239.240457,592201.51937,580474.540911,16109434.947906,13213670.248362
0,28,618113.441563,618113.441563,3513878.141109,618113.441563,496187.565451,16727548.389469,13709857.813813
0,29,1812670.230748,1812670.230748,4830360.806406,1812670.230748,357659.400314,18540218.620217,14067517.214127
0,30,1466829.729807,1466829.729807,5939531.135899,1466829.729807,416855.168551,20007048.350024,14484372.382678
0,31,1187576.52657,1187576.52657,6710252.493918,1187576.52657,640640.533823,21194624.876594,15125012.916501
0,32,1249165.264381,1249165.264381,7318777.224475,1249165.264381,392220.512035,22443790.140975,15517233.428536
0,33,846238.89834,846238.89834,7772795.61078,846238.89834,592201.51937,23290029.039315,16109434.947906
0,34,327128.037048,327128.037048,7507722.128458,327128.037048,618113.441563,23617157.076363,16727548.389469
0,35,625039.571184,625039.571184,7514648.258078,625039.571184,1812670.230748,24242196.647547,18540218.620217
0,36,1719493.341622,1719493.341622,7421471.368952,1719493.341622,1466829.729807,25961689.989169,20007048.350024
0,37,1811538.724532,1811538.724532,7766180.363676,1811538.724532,1187576.52657,27773228.713701,21194624.876594
0,38,1808718.240451,1808718.240451,8387322.077558,1808718.240451,1249165.264381,29581946.954152,22443790.140975
0,39,585016.883818,585016.883818,7723173.696995,585016.883818,846238.89834,30166963.83797,23290029.039315
0,40,329899.952932,329899.952932,7206834.751587,329899.952932,327128.037048,30496863.790902,23617157.076363
0,41,257033.28745,257033.28745,7136740.001989,257033.28745,625039.571184,30753897.078352,24242196.647547
0,42,172771.588038,172771.588038,6684472.018843,172771.588038,1719493.341622,30926668.66639,25961689.989169
0,43,193252.950342,193252.950342,5158231.627564,193252.950342,1811538.724532,31119921.616732,27773228.713701
0,44,213848.382774,213848.382774,3560541.285806,213848.382774,1808718.240451,31333769.999506,29581946.954152
0,45,210932.426383,210932.426383,1962755.471738,210932.426383,585016.883818,31544702.425889,30166963.83797
0,46,280154.944331,280154.944331,1657893.53225,280154.944331,329899.952932,31824857.37022,30496863.790902
0,47,249308.927252,249308.927252,1577302.50657,249308.927252,257033.28745,32074166.297472,30753897.078352
0,48,600570.175304,600570.175304,1920839.394424,600570.175304,172771.588038,32674736.472776,30926668.66639
0,49,869898.230898,869898.230898,2617966.037283,869898.230898,193252.950342,33544634.703674,31119921.616732
0,50,442261.89492,442261.89492,2866974.981862,442261.89492,213848.382774,33986896.598594,31333769.999506
0,51,475560.637151,475560.637151,3128687.236238,475560.637151,210932.426383,34462457.235745,31544702.425889
0,52,488522.811636,488522.811636,3406277.621491,488522.811636,280154.944331,34950980.047381,31824857.37022
0,53,586895.998728,586895.998728,3713018.675888,586895.998728,249308.927252,35537876.046109,32074166.297472
