scenario_id,hour,baseline_cores,baseline_energy_core_hours,flexible_window_energy_core_hours,arrival_work_core_hours,due_work_core_hours,cumulative_arrived_core_hours,cumulative_due_core_hours
4,43,783250.325627,783250.325627,4592549.297958,783250.325627,397706.332759,23718223.560758,19523380.595558
4,44,843579.375743,843579.375743,5038422.340941,843579.375743,635508.218884,24561802.936501,20158888.814442
4,45,459416.124966,459416.124966,4862330.247024,459416.124966,518169.761498,25021219.061467,20677058.57594
4,46,414996.882541,414996.882541,4759157.368067,414996.882541,607479.293406,25436215.944008,21284537.869346
4,47,280454.356544,280454.356544,4432132.431206,280454.356544,742991.070496,25716670.300552,22027528.939842
4,48,543560.35841,543560.35841,4232701.71912,543560.35841,907444.295289,26260230.658962,22934973.235131
4,49,787322.137547,787322.137547,4112579.561379,787322.137547,783250.325627,27047552.796509,23718223.560758
4,50,400279.674215,400279.674215,3729608.909967,400279.674215,843579.375743,27447832.470724,24561802.936501
4,51,430417.494916,430417.494916,3316447.02914,430417.494916,459416.124966,27878249.96564,25021219.061467
4,52,442149.220031,442149.220031,3299180.124204,442149.220031,414996.882541,28320399.185671,25436215.944008
4,53,531184.218825,531184.218825,3415367.460489,531184.218825,280454.356544,28851583.404496,25716670.300552
4,54,1909366.504613,1909366.504613,5044279.608558,1909366.504613,543560.35841,30760949.909109,26260230.658962
4,55,813800.851875,813800.851875,5314520.102022,813800.851875,787322.137547,31574750.760984,27047552.796509
4,56,399936.17421,399936.17421,4927134.138685,399936.17421,400279.674215,31974686.935194,27447832.470724
4,57,487965.764995,487965.764995,5014820.229466,487965.764995,430417.494916,32462652.700189,27878249.96564
4,58,291217.305621,291217.305621,4875620.040171,291217.305621,442149.220031,32753870.00581,28320399.185671
4,59,294675.051393,294675.051393,4728145.871533,294675.051393,531184.218825,33048545.057203,28851583.404496
4,60,265494.147368,265494.147368,4462455.800076,265494.147368,1909366.504613,33314039.204571,30760949.909109
4,61,180183.754278,180183.754278,2733273.049741,180183.754278,813800.851875,33494222.958849,31574750.760984
4,62,150187.10173,150187.10173,2069659.299596,150187.10173,399936.17421,33644410.060579,31974686.935194
4,63,254094.126085,254094.126085,1923817.251471,254094.126085,487965.764995,33898504.186664,32462652.700189
4,64,210831.999955,210831.999955,1646683.48643,210831.999955,291217.305621,34109336.186619,32753870.00581
4,65,156861.023608,156861.023608,1512327.204418,156861.023608,294675.051393,34266197.210227,33048545.057203
4,66,120111.661226,120111.661226,1337763.81425,120111.661226,265494.147368,34386308.871453,33314039.204571
4,67,161693.839898,161693.839898,1233963.50678,161693.839898,180183.754278,34548002.711351,33494222.958849
4,68,156668.529425,156668.529425,1210448.281928,156668.529425,150187.10173,34704671.240776,33644410.060579
4,69,188109.855043,188109.855043,1248371.035241,188109.855043,254094.126085,34892781.095819,33898504.186664
4,70,230610.424165,230610.424165,1224887.33332,230610.424165,210831.999955,35123391.519984,34109336.186619
4,71,254399.753987,254399.753987,1268455.087352,254399.753987,156861.023608,35377791.273971,34266197.210227
4,72,343627.295332,343627.295332,1455221.359075,343627.295332,120111.661226,35721418.569303,34386308.871453
4,73,454427.274214,454427.274214,1789536.972064,454427.274214,161693.839898,36175845.843517,34548002.711351
4,74,292756.737832,292756.737832,1920599.869998,292756.737832,156668.529425,36468602.581349,34704671.240776
4,75,436213.361073,436213.361073,2200144.701645,436213.361073,188109.855043,36904815.942422,34892781.095819
4,76,435490.374025,435490.374025,2447525.220627,435490.374025,230610.424165,37340306.316447,35123391.519984
4,77,1223794.311144,1223794.311144,3440709.107606,1223794.311144,254399.753987,38564100.627591,35377791.273971
4,78,1267761.395635,1267761.395635,4454070.749254,1267761.395635,343627.295332,39831862.023226,35721418.569303
4,79,568616.799104,568616.799104,4679060.253027,568616.799104,454427.274214,40400478.82233,36175845.843517
4,80,400488.54649,400488.54649,4625121.525302,400488.54649,292756.737832,40800967.36882,36468602.581349
4,81,529490.461503,529490.461503,4861855.248973,529490.461503,436213.361073,41330457.830323,36904815.942422
4,82,416353.330334,416353.330334,4841995.218235,416353.330334,435490.374025,41746811.160657,37340306.316447
4,83,615449.630015,615449.630015,5021954.474225,615449.630015,1223794.311144,42362260.790672,38564100.627591
4,84,425599.943991,425599.943991,4223760.107073,425599.943991,1267761.395635,42787860.734663,39831862.023226
4,85,449818.302779,449818.302779,3405817.014217,449818.302779,568616.799104,43237679.037442,40400478.82233
4,86,512849.204037,512849.204037,3350049.41915,512849.204037,400488.54649,43750528.241479,40800967.36882
4,87,651064.280901,651064.280901,3600625.153561,651064.280901,529490.461503,44401592.52238,41330457.830323
4,88,471363.452836,471363.452836,3542498.144894,471363.452836,416353.330334,44872955.975216,41746811.160657
4,89,589120.131046,589120.131046,3715264.945606,589120.131046,615449.630015,45462076.106262,42362260.790672
4,90,266197.593394,266197.593394,3366012.908985,266197.593394,425599.943991,45728273.699656,42787860.734663
4,91,317494.768293,317494.768293,3257907.733286,317494.768293,449818.302779,46045768.467949,43237679.037442
4,92,307760.607919,307760.607919,3115850.038427,307760.607919,512849.204037,46353529.075868,43750528.241479
4,93,472155.34518,472155.34518,3075156.179569,472155.34518,651064.280901,46825684.421048,44401592.52238
4,94,425285.875631,425285.875631,2849377.774299,425285.875631,471363.452836,47250970.296679,44872955.975216
