window_scope,paired_observation_count,effect,metric,mean_paired_difference
all_four_windows,400,energy_effect_at_uncertain_workload,actual_operating_cost_usd,-2.5838308793163196
all_four_windows,400,workload_effect_at_nominal_energy,actual_operating_cost_usd,3.2377204316998087
all_four_windows,400,workload_effect_at_uncertain_energy,actual_operating_cost_usd,-1.1240780695391914
all_four_windows,400,energy_by_workload_interaction,actual_operating_cost_usd,-4.361798501239
all_four_windows,400,energy_effect_at_nominal_workload,actual_curtailment_mwh,0.0022284626934828055
all_four_windows,400,energy_effect_at_uncertain_workload,actual_curtailment_mwh,-0.02308661885505103
all_four_windows,400,workload_effect_at_nominal_energy,actual_curtailment_mwh,0.023243979546450362
all_four_windows,400,workload_effect_at_uncertain_energy,actual_curtailment_mwh,-0.002071102002083471
all_four_windows,400,energy_by_workload_interaction,actual_curtailment_mwh,-0.025315081548533836
all_four_windows,400,energy_effect_at_nominal_workload,batch_adjustment_mwh,-0.11331041335934756
all_four_windows,400,energy_effect_at_uncertain_workload,batch_adjustment_mwh,0.17815751420549022
all_four_windows,400,workload_effect_at_nominal_energy,batch_adjustment_mwh,-0.39824011343254173
all_four_windows,400,workload_effect_at_uncertain_energy,batch_adjustment_mwh,-0.10677218586770394
all_four_windows,400,energy_by_workload_interaction,batch_adjustment_mwh,0.2914679275648378
