suite,configuration,method,window,workload_replay_count,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,mean_actual_grid_cost_usd,mean_actual_operating_cost_usd,mean_actual_carbon_kg,mean_actual_curtailment_mwh,mean_batch_adjustment_mwh,max_batch_adjustment_mwh,workload_violation_count,workload_violation_rate,workload_mean_violation_magnitude_all,workload_mean_violation_magnitude_conditional,workload_max_violation_magnitude,grid_limit_violation_count,grid_limit_violation_rate,grid_limit_mean_violation_magnitude_all,grid_limit_mean_violation_magnitude_conditional,grid_limit_max_violation_magnitude,ramp_violation_count,ramp_violation_rate,ramp_mean_violation_magnitude_all,ramp_mean_violation_magnitude_conditional,ramp_max_violation_magnitude
main,deterministic,deterministic,2025-01-01,100,True,True,0,,,0.7,20.0,optimal,1.842229199988651,1.8422310999885667,15682.221731441778,168.14303716611622,15850.364768607893,15678.649569069408,15846.792606235524,187946.55608362294,0.06271340748560354,50.031293856757536,61.69474421163488,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-04-01,100,True,True,0,,,0.7,20.0,optimal,2.0388982000004034,2.0388986000034492,15494.70179464932,485.3868675732696,15980.08866222259,15685.419926703344,16170.806794276612,134307.74108949496,0.06605713039218959,53.009789040515024,65.28881873717003,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-07-01,100,True,True,0,,,0.7,20.0,optimal,1.9850107999955071,1.9850114999862853,15892.509133609492,284.3502089019994,16176.859342511492,16080.232114462264,16364.582323364264,167789.32154625814,0.24754860065115192,59.24672395360878,113.98397645020464,0,0.0,0.0,0.0,0.0,11,0.11,0.010054478197958648,0.09140434725416952,0.5461141700754104,3,0.03,0.02787287056857362,0.9290956856191207,1.236257714818326
main,deterministic,deterministic,2025-10-01,100,True,True,0,,,0.7,20.0,optimal,2.003832699992927,2.003833399998257,16341.44927302646,516.750564959715,16858.199837986172,16398.065055792245,16914.81562075196,193596.73588745945,0.07373954306992815,55.05589908483063,68.29207517003199,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
