suite,configuration,method,window,workload_replay_count,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,mean_actual_grid_cost_usd,mean_actual_operating_cost_usd,mean_actual_carbon_kg,mean_actual_curtailment_mwh,mean_batch_adjustment_mwh,max_batch_adjustment_mwh,workload_violation_count,workload_violation_rate,workload_mean_violation_magnitude_all,workload_mean_violation_magnitude_conditional,workload_max_violation_magnitude,grid_limit_violation_count,grid_limit_violation_rate,grid_limit_mean_violation_magnitude_all,grid_limit_mean_violation_magnitude_conditional,grid_limit_max_violation_magnitude,ramp_violation_count,ramp_violation_rate,ramp_mean_violation_magnitude_all,ramp_mean_violation_magnitude_conditional,ramp_max_violation_magnitude
main,deterministic,deterministic,2025-01-01,100,True,True,0,,,0.7,20.0,optimal,1.7611528000015824,1.761153600000398,15664.811973990281,174.34157851920799,15839.15355250949,15731.822876033422,15906.164454552629,189502.33163110717,0.06410110847368641,50.043399265507766,62.9675634901039,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-04-01,100,True,True,0,,,0.7,20.0,optimal,1.840681300000142,1.8406820999989577,15462.571691668632,498.33225108842646,15960.903942757059,15726.287977174043,16224.620228262469,135836.33521784103,0.07988001943751079,53.72926105103934,101.25049375767715,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.01,0.008947834827640335,0.8947834827640335,0.8947834827640335
main,deterministic,deterministic,2025-07-01,100,True,True,0,,,0.7,20.0,optimal,1.8157068000000436,1.8157075000017358,15865.460962360758,295.2709491819242,16160.731911542682,16105.33427167323,16400.605220855152,169309.74071598993,0.32345579174632677,57.813856004235504,69.19522948229915,0,0.0,0.0,0.0,0.0,6,0.06,0.005183257258149034,0.08638762096915058,0.20469943989974726,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-10-01,100,True,True,0,,,0.7,20.0,optimal,1.7904077000021061,1.7904124000015145,16307.664624421875,533.9055933035798,16841.570217725457,16400.79381821833,16934.699411521913,195072.31522034446,0.09255224036924034,57.142499734638434,115.71658563089849,0,0.0,0.0,0.0,0.0,4,0.04,0.011536913864218899,0.28842284660547246,0.6717776136010396,4,0.04,0.03971626927391602,0.9929067318479006,1.1380754029006155
main,tv_dro_rho_0p01,tv_dro,2025-01-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,72.96970759999749,72.9689142999996,15664.81197399028,174.34157851920855,15839.153552509488,15733.43737047386,15907.778948993067,189504.6387376201,0.07885492438895078,50.12388281319548,63.19745854222504,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,tv_dro_rho_0p01,tv_dro,2025-04-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,73.66399190000084,73.66329270000278,15462.571691668627,498.3322510884225,15960.90394275705,15725.420116660725,16223.752367749146,135743.0400999993,0.04108723853953364,54.43406010565509,104.27986085120732,0,0.0,0.0,0.0,0.0,1,0.01,0.0014709683246815165,0.14709683246815164,0.14709683246815164,1,0.01,0.009033834733734267,0.9033834733734267,0.9033834733734267
main,tv_dro_rho_0p01,tv_dro,2025-07-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,71.8522557000033,71.85165720000077,15865.460962360698,295.2709491819056,16160.731911542603,16080.085366715859,16375.356315897763,169211.33553166193,0.001356550884047705,58.62218073910799,70.58334572949174,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,tv_dro_rho_0p01,tv_dro,2025-10-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,76.57653410000057,76.57555049999792,16307.664624421883,533.9055933035839,16841.570217725468,16405.39293080019,16939.298524103775,195247.74307936867,0.034830984702906444,54.39309206902706,67.74292028990442,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
