suite,configuration,method,window,workload_replay_id,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,actual_grid_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
main,deterministic,deterministic,2025-07-01,0,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,15853.825679138015,16149.096628319921,160175.6113703747,1.2957239835266021,57.61954971224787,0.0,0.22695665311566704,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,1,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,16801.861207896563,17097.13215707847,180267.88823406238,0.6418009186108944,69.57188225877928,0.0,0.25986996300671605,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,2,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,15657.769445195576,15953.040394377482,163240.3948876035,1.6844414169179958,51.394462071852935,0.0,0.1109909553045152,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,3,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,15683.3160442618,15978.586993443705,163176.4848035509,0.1202543794026627,62.14110148579961,0.0,0.24537058631329378,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,4,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,17045.6522360392,17340.92318522111,191358.57889375158,0.7821288995836184,52.855008347239064,0.0,0.18005563306346417,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,5,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,15786.456611804533,16081.72756098644,167789.60117446515,0.26711922110746533,60.383630705535666,0.0,0.23944549243637892,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,6,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,16601.763516726103,16897.03446590801,173237.10413823827,0.0,55.00851466218043,0.0,0.14731355165139193,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,7,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,15517.133991005723,15812.40494018763,157733.49889718342,0.9150254556892319,53.24642641178248,0.0,0.12786986098460762,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,8,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,16288.50177463094,16583.772723812846,178008.03708930823,0.0050295418771028055,58.00616677571397,0.0,0.18659278966094806,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,9,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,16305.702097427466,16600.97304660937,182910.72550986568,0.0,118.60101528140565,0.0,0.8922115112644962,1.342858079662293,False,True,True
main,deterministic,deterministic,2025-07-01,10,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,16576.029922627917,16871.300871809824,179963.02964622763,0.19797655827895108,57.226749378179996,0.0,0.2177856689463229,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,11,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,15560.532182450828,15855.803131632734,158127.12312112402,0.1472930307859961,54.14125429077491,0.0,0.25182555923771344,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,12,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,15799.68673069389,16094.957679875795,153499.7084936959,0.025338215791873342,52.94894235800579,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,13,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,16145.267322340134,16440.53827152204,167396.901311736,0.48512064752229755,58.3422637231429,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,14,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,15132.95614564288,15428.227094824786,155703.15855497896,0.03282517752025482,58.240102738260404,0.0,0.17978593110103946,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,15,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,16411.70293268416,16706.973881866066,177891.59802272668,0.6219166531387882,55.71784196158528,0.0,0.09924812350391887,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,16,True,True,0,,,0.7,20.0,optimal,1.9637546000012662,1.9637559000002511,0.0,0,0,15866.08990378039,295.27094918190613,16161.360852962296,15458.652269798975,15753.92321898088,156412.059979739,0.13743701183081572,55.16492553346338,0.0,0.11099227270756207,0.0,False,True,False
