method,cost_reduction,optimal_cost
deterministic,0.3832103755066786,51769.87589992086
SAA(20),0.3582980721602733,53860.875491044084
robust(Gamma_pv=1),0.37894504018352326,52127.88432221346
robust(Gamma_pv=72),0.3670494991788975,53126.329589637964
robust(Gamma_pv=144),0.3593120569996966,53775.76726740225
robust(Gamma_pv=360),0.3511414142832295,54461.56537855169
robust(Gamma_pv=720),0.35114043640027554,54461.64745658472
