directory,grid_limit_fraction_of_peak,ramp_limit_fraction_of_peak,aggregation,forecast_context_count,paired_replay_count,deterministic_physical_violation_rate,deterministic_wilson_low,deterministic_wilson_high,tv_dro_physical_violation_rate,tv_dro_wilson_low,tv_dro_wilson_high,paired_risk_reduction_percentage_points,deterministic_only_violation_count,tv_dro_only_violation_count,mcnemar_exact_two_sided_p,deterministic_max_physical_violation_mw,tv_dro_max_physical_violation_mw,tv_to_deterministic_max_magnitude_ratio,mean_actual_cost_deterministic_usd,mean_actual_cost_tv_dro_usd,mean_actual_cost_tv_minus_deterministic_usd,frequency_gate_met,strict_gate_met
grid_0p85_ramp_0p075_seed_20260903_det_tv_four_windows,0.85,0.075,scenario_id_any_across_windows,4,100,0.12,0.06999406437019488,0.19812099426711421,0.02,0.00550196755016235,0.07001179072854388,10.0,11,1,0.00634765625,1.1380754029006155,0.9033834733734267,0.7937817398310966,16366.522328798043,16361.54653918594,-4.975789612103122,True,False
grid_0p85_ramp_0p075_seed_20270117_det_tv_four_windows,0.85,0.075,scenario_id_any_across_windows,4,100,0.13,0.07757167427240512,0.20980351440076428,0.02,0.00550196755016235,0.07001179072854388,11.0,13,2,0.00738525390625,1.0213240274571573,0.052034770468540215,0.05094834652827452,16325.839426396866,16321.349015069367,-4.4904113274976405,True,True
