suite,configuration,method,window,workload_replay_count,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,mean_actual_grid_cost_usd,mean_actual_operating_cost_usd,mean_actual_carbon_kg,mean_actual_curtailment_mwh,mean_batch_adjustment_mwh,max_batch_adjustment_mwh,workload_violation_count,workload_violation_rate,workload_mean_violation_magnitude_all,workload_mean_violation_magnitude_conditional,workload_max_violation_magnitude,grid_limit_violation_count,grid_limit_violation_rate,grid_limit_mean_violation_magnitude_all,grid_limit_mean_violation_magnitude_conditional,grid_limit_max_violation_magnitude,ramp_violation_count,ramp_violation_rate,ramp_mean_violation_magnitude_all,ramp_mean_violation_magnitude_conditional,ramp_max_violation_magnitude
main,deterministic,deterministic,2025-07-01,100,True,True,0,,,0.7,20.0,optimal,4.683749299991177,4.683750900003361,15865.461062360768,295.27094918188646,16160.732011542654,16095.695373242444,16390.966322424327,169054.28667660698,0.053689039927716,57.945160199863466,72.64057860093877,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_0_workload_0,tv_dro,2025-07-01,100,False,False,20,,0.01,0.7,20.0,optimal_decomposed,21.937104599986924,21.936808800004655,15865.461062360715,295.2709491819126,16160.732011542628,16095.69537324243,16390.96632242434,169054.28673464592,0.05368903992771515,57.94516019979389,72.64057860099936,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
ablation,tv_dro_energy_1_workload_1,tv_dro,2025-07-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,85.30588030000217,85.30511659997865,15865.461062360653,295.27094918192427,16160.732011542577,16095.695373242412,16390.966322424334,169054.28667666088,0.05368903992771793,57.945160200075776,72.6405786005645,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
