method,held_out_fold,validation_window_id,rho,beta,support_size,allowed_training_violation_count,feasible,solver_status,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,training_mean_batch_adjustment_mwh,validation_batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
finite_support_TV_DRO,fold_1,0,0.01,0.1,20,1,True,optimal_decomposed,65.60017350001726,0.0,1,2,11792.325750938802,12365.406199128574,184679.95806663926,0.636200936722988,35.289666202662254,42.27461661028069,2.5579538487363607e-13,0.0,8.881784197001252e-16,False,False,False
finite_support_TV_DRO,fold_1,1,0.01,0.1,20,1,True,optimal_decomposed,65.38005119998707,0.0,1,2,12525.598423695703,13156.999274286127,173402.97093033127,0.9491165120846496,34.36969520552476,47.321690524703186,1.1368683772161603e-13,0.0,8.881784197001252e-16,False,False,False
finite_support_TV_DRO,fold_1,2,0.01,0.1,20,1,True,optimal_decomposed,65.62990160001209,0.0,1,2,11768.793953079874,12541.99615931629,191130.3280213859,0.9550452105331279,35.81604330267815,34.019860493600945,4.263256414560601e-14,0.0,6.661338147750939e-16,False,False,False
finite_support_TV_DRO,fold_1,3,0.01,0.1,20,1,True,optimal_decomposed,64.67570609995164,0.0,1,2,12654.280358001177,12679.526250035125,177357.15985845018,1.9445639156311967,33.45985707705135,32.3591166675294,5.684341886080802e-14,0.0,9.992007221626409e-16,False,False,False
finite_support_TV_DRO,fold_1,4,0.01,0.1,20,1,True,optimal_decomposed,64.77181070001097,0.0,1,2,10734.0875621842,10859.244994372226,165313.91550385358,0.5497084595213904,34.80013222099164,35.6412259423468,8.526512829121202e-14,0.0,3.3306690738754696e-16,False,False,False
finite_support_TV_DRO,fold_1,5,0.01,0.1,20,1,True,optimal_decomposed,67.78284810000332,0.0,1,2,12085.285166598229,12896.198034653877,175017.3785409562,0.35579729847976715,34.98336883146678,34.969326364258706,1.4210854715202004e-13,0.0,6.661338147750939e-16,False,False,False
finite_support_TV_DRO,fold_1,6,0.01,0.1,20,1,True,optimal_decomposed,57.31966370000737,0.0,1,2,12102.664345935258,12261.629040152982,177860.26530200813,0.8491816286910084,34.50626445553928,36.018852690006504,1.7053025658242404e-13,0.0,8.881784197001252e-16,False,False,False
finite_support_TV_DRO,fold_1,7,0.01,0.1,20,1,True,optimal_decomposed,65.29939650004962,0.0,1,2,14853.94852027372,16791.78538318808,184086.3305529593,0.4321413600713408,34.847571968995524,38.00081549044076,1.7053025658242404e-13,0.0,3.3306690738754696e-16,False,False,False
finite_support_TV_DRO,fold_1,8,0.01,0.1,20,1,True,optimal_decomposed,71.48559920000844,0.0,1,2,21151.961086262003,22554.932173976278,181500.1525437751,0.634506559149053,33.653478956662816,36.32453169358194,8.526512829121202e-14,0.0,8.881784197001252e-16,False,False,False
finite_support_TV_DRO,fold_1,9,0.01,0.1,20,1,True,optimal_decomposed,67.95669700001599,0.0,1,2,11509.574956834485,11551.887136201956,172535.68242298544,0.6033854696529624,34.73458866589691,40.97985026857686,1.4210854715202004e-13,0.0,3.3306690738754696e-16,False,False,False
