suite,configuration,method,window,workload_replay_count,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,mean_actual_grid_cost_usd,mean_actual_operating_cost_usd,mean_actual_carbon_kg,mean_actual_curtailment_mwh,mean_batch_adjustment_mwh,max_batch_adjustment_mwh,workload_violation_count,workload_violation_rate,workload_mean_violation_magnitude_all,workload_mean_violation_magnitude_conditional,workload_max_violation_magnitude,grid_limit_violation_count,grid_limit_violation_rate,grid_limit_mean_violation_magnitude_all,grid_limit_mean_violation_magnitude_conditional,grid_limit_max_violation_magnitude,ramp_violation_count,ramp_violation_rate,ramp_mean_violation_magnitude_all,ramp_mean_violation_magnitude_conditional,ramp_max_violation_magnitude
main,deterministic,deterministic,2025-01-01,100,True,True,0,,,0.7,20.0,optimal,2.0857219000026817,2.0857231999980286,15664.811973990281,174.34157851920799,15839.15355250949,15672.348317597496,15846.689896116704,187943.4890924105,0.059339204932767994,50.23849005829181,61.64304451621926,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-04-01,100,True,True,0,,,0.7,20.0,optimal,2.2434476999915205,2.2434485999983735,15462.571691668598,498.33225108842885,15960.903942757026,15672.555194291255,16170.887445379687,134291.91566904736,0.07639929601536709,53.2477518554194,65.34745626892804,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,deterministic,deterministic,2025-07-01,100,True,True,0,,,0.7,20.0,optimal,2.245615899999393,2.2456167000054847,15865.460962360758,295.2709491819242,16160.731911542682,16080.147137589676,16375.418086771599,167804.8926158046,0.3146719606979712,58.088443027643706,112.89412485003407,0,0.0,0.0,0.0,0.0,15,0.15,0.007680539822814972,0.051203598818766474,0.19989015851667125,1,0.01,0.007986772465179816,0.7986772465179817,0.7986772465179817
main,deterministic,deterministic,2025-10-01,100,True,True,0,,,0.7,20.0,optimal,2.266505799998413,2.2665066000045044,16307.86066828387,533.9055933035742,16841.766261587443,16376.367366692682,16910.27295999626,193603.5154233101,0.11206563619704722,55.9182793780172,109.61635300682893,0,0.0,0.0,0.0,0.0,7,0.07,0.003271651632280086,0.046737880461144084,0.08755954463179805,2,0.02,0.018882711838653934,0.9441355919326968,1.0043037746571433
main,tv_dro_rho_0p01,tv_dro,2025-01-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,70.64092839999648,70.64017180001247,15664.811973990283,174.34157851920895,15839.153552509491,15674.025114371607,15848.366692890815,187947.75287799127,0.07704577810738472,50.38641994347674,62.21552707246688,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,tv_dro_rho_0p01,tv_dro,2025-04-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,69.20078990000184,69.20002059999388,15462.571691668625,498.33225108842146,15960.903942757046,15673.37159757007,16171.703848658493,134207.39092522868,0.048308844991941,54.15491798021805,65.7328746048434,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
main,tv_dro_rho_0p01,tv_dro,2025-07-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,75.71003159999964,75.70930729999964,15865.460962360758,295.27094918190807,16160.731911542665,16065.841763915803,16361.112713097711,167778.09665372048,0.05161872474629004,58.88012992564098,71.58938757344225,0,0.0,0.0,0.0,0.0,1,0.01,0.0018528742562644541,0.1852874256264454,0.1852874256264454,0,0.0,0.0,0.0,0.0
main,tv_dro_rho_0p01,tv_dro,2025-10-01,100,True,True,20,,0.01,0.7,20.0,optimal_decomposed,70.68768960000307,70.6870401000051,16307.860668283884,533.9055933035752,16841.766261587458,16374.775664117535,16908.681257421107,193710.3540689079,0.04013199077446216,54.96968774475357,67.50841090145789,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
