directory,grid_limit_fraction_of_peak,ramp_limit_fraction_of_peak,window,paired_replay_count,deterministic_physical_violation_rate,deterministic_wilson_low,deterministic_wilson_high,tv_dro_physical_violation_rate,tv_dro_wilson_low,tv_dro_wilson_high,paired_risk_reduction_percentage_points,deterministic_only_violation_count,tv_dro_only_violation_count,mcnemar_exact_two_sided_p,deterministic_max_physical_violation_mw,tv_dro_max_physical_violation_mw,tv_to_deterministic_max_magnitude_ratio,material_magnitude_floor_mw,valuable_candidate
grid_0p71875_ramp_0p075,0.71875,0.075,2025-07-01,100,0.0,0.0,0.03699349820698568,0.0,0.0,0.03699349820698568,0.0,0,0,1.0,0.0,0.0,0.0,0.0085101264,False
grid_0p71875_ramp_0p075,0.71875,0.075,2025-10-01,100,0.0,0.0,0.03699349820698568,0.0,0.0,0.03699349820698568,0.0,0,0,1.0,0.0,0.0,0.0,0.0085101264,False
