method,held_out_fold,validation_window_id,gamma,effective_gamma,gamma_saturated,sample_size,energy_quantile,feasible,solver_status,solver_runtime_seconds,mip_gap,max_robust_constraint_violation_mw,nominal_operating_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,training_mean_batch_adjustment_mwh,validation_batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
static_Gamma_RO,fold_1,0,0.0,0.0,False,20,0.9,True,optimal,11.950000047683716,0.0,3.3306690738754696e-16,11792.3257509388,12370.685284090225,184769.31430525138,0.629649967800023,165.73847639943318,42.118149904362504,5.684341886080802e-14,0.0,8.881784197001252e-16,False,False,False
static_Gamma_RO,fold_1,0,1.0,1.0,False,20,0.9,False,infeasible,0.6689999103546143,inf,0.0,,,,,,,,,,True,True,True
static_Gamma_RO,fold_1,0,2.0,2.0,False,20,0.9,False,infeasible,0.33500003814697266,inf,0.0,,,,,,,,,,True,True,True
