method,gamma,effective_gamma,validation_window_count,optimal_solve_count,canonical_36_window_validation,mean_solver_runtime_seconds,mean_nominal_operating_cost_usd,mean_actual_operating_cost_usd,workload_violation_count,workload_violation_rate,workload_wilson_upper_95,grid_limit_violation_count,grid_limit_violation_rate,grid_limit_wilson_upper_95,ramp_violation_count,ramp_violation_rate,ramp_wilson_upper_95,max_wilson_upper_95,meets_90pct_target
static_Gamma_RO,0.0,0.0,1,1,False,11.950000047683716,11792.3257509388,12370.685284090225,0,0.0,0.7301340512159457,0,0.0,0.7301340512159457,0,0.0,0.7301340512159457,0.7301340512159457,False
static_Gamma_RO,1.0,1.0,1,0,False,0.6689999103546143,,,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,False
static_Gamma_RO,2.0,2.0,1,0,False,0.33500003814697266,,,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,False
