suite,configuration,method,window,workload_replay_id,energy_uncertainty,workload_uncertainty,sample_size,gamma,rho,effective_capacity_fraction,bess_degradation_cost_usd_per_mwh_throughput,solver_status,solve_wall_time_seconds,solver_runtime_seconds,mip_gap,decomposition_iterations,active_scenario_count,nominal_grid_cost_usd,nominal_bess_degradation_cost_usd,nominal_operating_cost_usd,actual_grid_cost_usd,actual_operating_cost_usd,actual_carbon_kg,actual_curtailment_mwh,batch_adjustment_mwh,workload_envelope_violation_mwh,grid_limit_violation_mw,ramp_violation_mw,workload_violation,grid_limit_violation,ramp_violation
main,deterministic,deterministic,2025-07-01,0,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,15833.417559703554,16128.688508885478,160032.86060785913,0.7785510029993942,57.488873199444285,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,1,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,16795.73739120806,17091.008340389984,180266.8035025951,0.4673296505414942,69.69768266503422,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,2,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,15639.200983870269,15934.471933052193,163106.48894572246,1.099279887322564,50.97737244850026,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,3,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,15682.775018501316,15978.04596768324,163242.542743954,0.0,61.909747003164334,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,4,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,17036.80811907203,17332.079068253955,191337.32333733162,0.7438026633412977,52.816688799341684,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,5,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,15791.738656205744,16087.009605387668,167908.48691457542,0.567352930133274,60.2111364848039,0.0,0.038099801838964886,0.0,False,True,False
main,deterministic,deterministic,2025-07-01,6,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,16601.025033896647,16896.295983078573,173224.1280373015,0.0,54.955558698385126,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,7,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,15515.188542635067,15810.459491816991,157670.88935284148,0.7883619842199787,53.69552481979629,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,8,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,16288.158701007394,16583.42965018932,178077.26642422477,0.0050295418771028055,58.634800477333904,0.0,0.0,0.0,False,False,False
main,deterministic,deterministic,2025-07-01,9,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,16315.469423105833,16610.740372287757,182969.64032387675,0.0,112.99283194560385,0.0,0.0,0.8063395379179947,False,False,True
main,deterministic,deterministic,2025-07-01,10,True,True,0,,,0.7,20.0,optimal,1.8554774000003817,1.8554786000004242,0.0,0,0,15865.460962360758,295.2709491819242,16160.731911542682,16571.422007357316,16866.692956539242,179913.05532630158,0.0,58.23374597935188,0.0,0.0,0.0,False,False,False
