delivery_date,cv_fold,hour_index,forecast_cutoff_utc,interval_end_utc,forecast_method,erco_solar_generation_mwh,erco_wind_generation_mwh,erco_consumed_co2_intensity_lbs_per_kwh,forecast_erco_solar_generation_mwh,forecast_erco_wind_generation_mwh,forecast_consumed_co2_lbs_per_kwh,residual_erco_solar_generation_mwh,residual_erco_wind_generation_mwh,residual_erco_consumed_co2_intensity_lbs_per_kwh,complete_row,usable_24h_block
2024-01-01,fold_1,0,2024-01-01T00:00:00Z,2024-01-01T07:00:00Z,direct_ridge_90d_v1,0.0,14824.0,0.6938079162964844,0.0,12448.649577723876,0.7176762641165989,0.0,2375.350422276124,-0.02386834782011449,True,True
2024-01-01,fold_1,1,2024-01-01T00:00:00Z,2024-01-01T08:00:00Z,direct_ridge_90d_v1,0.0,13891.0,0.714096115094105,0.0,12554.84202397895,0.7165382228042478,0.0,1336.1579760210498,-0.00244210771014286,True,True
2024-01-01,fold_1,2,2024-01-01T00:00:00Z,2024-01-01T09:00:00Z,direct_ridge_90d_v1,0.0,12971.0,0.7363730990749662,0.0,12410.616753107559,0.722964127492371,0.0,560.3832468924411,0.01340897158259513,True,True
2024-01-01,fold_1,3,2024-01-01T00:00:00Z,2024-01-01T10:00:00Z,direct_ridge_90d_v1,0.0,11973.0,0.7694833925686455,0.0,12213.269489553668,0.73742486415536,0.0,-240.26948955366788,0.03205852841328549,True,True
2024-01-01,fold_1,4,2024-01-01T00:00:00Z,2024-01-01T11:00:00Z,direct_ridge_90d_v1,0.0,10797.0,0.8264663022052522,0.0,12240.776983427235,0.7484886599105938,0.0,-1443.7769834272349,0.07797764229465842,True,True
2024-01-01,fold_1,5,2024-01-01T00:00:00Z,2024-01-01T12:00:00Z,direct_ridge_90d_v1,0.0,8717.0,0.9354826282170691,0.0,12381.593092954054,0.7720946664740116,0.0,-3664.5930929540536,0.16338796174305747,True,True
2024-01-01,fold_1,6,2024-01-01T00:00:00Z,2024-01-01T13:00:00Z,direct_ridge_90d_v1,0.0,6653.0,1.0259124500600643,0.6070706435842427,12342.925435417237,0.8093286472727413,-0.6070706435842427,-5689.925435417237,0.21658380278732292,True,True
2024-01-01,fold_1,7,2024-01-01T00:00:00Z,2024-01-01T14:00:00Z,direct_ridge_90d_v1,86.0,5163.0,1.0725869842434854,275.30709473326203,12175.960078244601,0.8346695892910835,-189.30709473326203,-7012.960078244601,0.23791739495240194,True,True
2024-01-01,fold_1,8,2024-01-01T00:00:00Z,2024-01-01T15:00:00Z,direct_ridge_90d_v1,3034.0,3313.0,1.047004198617094,3775.448786604201,11546.187959462472,0.731663293919123,-741.4487866042009,-8233.187959462472,0.31534090469797094,True,True
2024-01-01,fold_1,9,2024-01-01T00:00:00Z,2024-01-01T16:00:00Z,direct_ridge_90d_v1,7922.0,2015.0,0.93704444611612,7730.893781099148,8496.592794260716,0.6534169588295902,191.10621890085167,-6481.592794260716,0.28362748728652987,True,True
